parameter,V1,V2,V3
n_estimators,308.0,254.0,1395.0
max_depth,5.0,4.0,2.0
learning_rate,0.03362895774231974,0.008568493037317973,0.008393035437680432
subsample,0.7383038258652408,0.9281970300823519,0.5745165341564262
colsample_bytree,0.5773203111238806,0.5515394512669756,0.907772203743718
min_child_weight,15.0,24.0,16.0
gamma,0.87742101992794,1.4600943364717356,1.3287743160417813
reg_alpha,0.1799281490630024,0.14347810655306578,0.001190849869384101
reg_lambda,8.502851087916396,5.848631133759961,29.4881560843336
