model,fold,n_selected_features,rmse,mae,r2,directional_accuracy,information_coefficient,r2_out_of_sample
SARIMAX,11.5,16.59090909090909,1.0389235318030325,0.9393576654042692,-14.1772237615624,0.4392441911722295,0.07953731711871777,-9.091635777957832
XGBoost,11.5,16.59090909090909,0.5570967885907071,0.45458456138006037,-1.2758964442323941,0.5451625992391459,0.14614300326678822,-0.33480985395418694
